station_id,longitude,latitude
dongsi_aq,116.417,39.929
tiantan_aq,116.407,39.886
guanyuan_aq,116.339,39.929
wanshouxigong_aq,116.352,39.878
aotizhongxin_aq,116.397,39.982
nongzhanguan_aq,116.461,39.937
wanliu_aq,116.287,39.987
beibuxinqu_aq,116.174,40.09
zhiwuyuan_aq,116.207,40.002
fengtaihuayuan_aq,116.279,39.863
yungang_aq,116.146,39.824
gucheng_aq,116.184,39.914
fangshan_aq,116.136,39.742
daxing_aq,116.404,39.718
yizhuang_aq,116.506,39.795
tongzhou_aq,116.663,39.886
shunyi_aq,116.655,40.127
pingchang_aq,116.23,40.217
mentougou_aq,116.106,39.937
pinggu_aq,117.1,40.143
huairou_aq,116.628,40.328
miyun_aq,116.832,40.37
yanqin_aq,115.972,40.453
dingling_aq,116.22,40.292
badaling_aq,115.988,40.365
miyunshuiku_aq,116.911,40.499
donggaocun_aq,117.12,40.1
yongledian_aq,116.783,39.712
yufa_aq,116.3,39.52
liulihe_aq,116,39.58
qianmen_aq,116.395,39.899
yongdingmennei_aq,116.394,39.876
xizhimenbei_aq,116.349,39.954
nansanhuan_aq,116.368,39.856
dongsihuan_aq,116.483,39.939